habitat,slope
sand,-3.3398999032452297
sand,-3.363907798445032
sand,-3.358764193765855
sand,-3.4083167033616784
sand,-3.356080293398331
sand,-2.914090437367916
sand,-2.7646118942429054
sand,-2.5102126971559504
sand,-3.881056886326254
sand,-3.992700469527686
sand,-3.3098364708563386
sand,-3.1392127447687685
sand,-4.947701919247145
sand,-4.209848719915539
sand,-3.2940878678762435
sand,-3.2803454734407134
sand,-2.4675247717373923
sand,-2.9114586679755297
sand,-1.9080539736248234
sand,-1.742574653160276
sand,-2.952826482015641
sand,-3.3416654427696217
sand,-3.35230345248802
sand,-3.432779487978057
sand,-2.2881814922433192
sand,-3.0679849690372922
sand,-2.81217521323361
